ts,block,addy,lp_change,capital_change,lp_price,type
1657010736,259243,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,9998683973,10000000000,100013162,1
1657010832,259244,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,10064674683,10066000000,100013168,0
1657011130,259247,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,499933929289,499999850577,100013186,0
1657011342,259249,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,499934013709,500000000000,100013199,1
1657041513,259560,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,8998644,9000000,100015061,0
1657041631,259561,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,499925015065,500000343767,100015068,0
1657042010,259564,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,499924551386,500000000000,100015092,1
1657092532,260102,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,9998179531,10000000000,100018208,1
1657181969,261026,0x336775bfd65101103c187b57674112a27d796782314afb69b1d799386d89440,118971776,119000000,100023723,0
1657181969,261026,0x336775bfd65101103c187b57674112a27d796782314afb69b1d799386d89440,9997628262,10000000000,100023723,0
1657184194,261049,0x336775bfd65101103c187b57674112a27d796782314afb69b1d799386d89440,9997614569,10000000000,100023860,1
1657195926,261166,0x336775bfd65101103c187b57674112a27d796782314afb69b1d799386d89440,99975423041,100000000000,100024583,1
1657294170,262196,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,9996942235,10000000000,100030587,1
1657378883,263089,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,20097813222,20105000000,100035759,0
1657560993,264987,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,9995312398,10000000000,100046898,0
1657560993,264987,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,9995312398,10000000000,100046898,1
1657618089,265575,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,9994967134,10000000000,100050354,1
1657645852,265879,0x23c58f1fe36813778d7bf2b48893e38651a1c1b7d1e77705f09c07507e8c274,99947994060,100000000000,100052033,1
1657654045,265964,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,10079704727,10085000000,100052534,0
1657654219,265966,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,9994748359,10000000000,100052544,1
1657709823,266547,0x6875f16514700b2943bff47846594975e57a28cd64822bd1c9d433676757065,10077365543,10083000000,100055912,1
